Bezeichnung,Gruppenbezeichnung,Beschreibung,Anwendungsgebiet,Nennweite,Förderhöhe H max.,Baulänge,Betriebsdruck max.,Mediumtemperatur min.,Mediumtemperatur max.,Nettogewicht,EEI-Wert,bei   75°C Wassertemperatur,pro 100 m Höhe,Leistung P min.,Leistung P max.,Nennstrom min.,Nennstrom max.,Nennweite G/DN
PrimAX 25-8 130 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",25,7.5,130,10,2,110,1.8,0.18,0.05,0.01,3,50,0.03,0.41,1.5
PrimAX 25-8 180 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",25,7.5,180,10,2,110,1.8,0.18,0.05,0.01,3,50,0.03,0.41,1.5
PrimAX 32-3 170 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,3,170,10,2,110,1.8,0.15,0.05,0.01,2,15,0.03,0.12,2
PrimAX 32-3 180 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,3,180,10,2,110,1.8,0.15,0.05,0.01,2,15,0.03,0.12,2
PrimAX 32-4 170 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,4,170,10,2,110,1.8,0.16,0.05,0.01,3,18,0.03,0.15,2
PrimAX 32-4 180 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,4,180,10,2,110,1.8,0.16,0.05,0.01,3,18,0.03,0.15,2
PrimAX 32-6 170 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,6,170,10,2,110,1.8,0.17,0.05,0.01,3,34,0.03,0.21,2
PrimAX 32-6 180 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,6,180,10,2,110,1.8,0.17,0.05,0.01,3,34,0.03,0.27,2
PrimAX 32-8 170 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,7.5,170,10,2,110,1.8,0.18,0.05,0.01,3,50,0.03,0.41,2
PrimAX 32-8 180 RED,RED,Die PrimAX überzeugt mit einer überdurchschnittlichen Energieeffizienz und der einheitlichen Biral-Bedienphilosophie. ,"Die Biral-Umwälzpumpen der Typenreihe PrimAX sind zur Umwälzung von Flüssigkeiten in folgenden Anlagen bestimmt:<ul><li>Heizungsanlagen (Fussbodenheizungen, Einrohr- und Zweirohr-Heizungsanlagen)</li><li>Klimaanlagen</li><li>Kaltwassersystemen (Kaltwassersysteme sind Anlagen, bei denen die Umgebungstemperatur über der Mediumstemperatur liegt)</li>Die Pumpen eignen sich zur Verwendung in Anlagen mit variablen oder konstanten Fördermengen.</ul>",32,7.5,180,10,2,110,1.8,0.18,0.05,0.01,3,50,0.03,0.41,2
